shipment_id,origin_city,destination_city,carrier,weight_kg,status,ship_date,estimated_delivery,actual_delivery,shipping_cost,customer_id
SH00022,San Antonio,Detroit,Amazon Logistics,43.15,In Transit,2026-08-21,2026-08-28,,99.84,CUST9786
SH00023,San Diego,Denver,Amazon Logistics,46.2,Out for Delivery,2026-08-15,2026-08-18,2026-08-19,404.97,CUST2604
SH00024,Los Angeles,Denver,UPS,20.62,Out for Delivery,2026-08-02,2026-08-09,2026-08-08,110.8,CUST7570
SH00025,Phoenix,Las Vegas,DHL,21.44,Returned,2026-08-02,2026-08-05,2026-08-07,497.73,CUST8973
SH00026,New York,Minneapolis,BlueDart,27.34,Returned,2026-08-05,2026-08-08,,160.23,CUST1821
SH00027,Chicago,Seattle,Cyntexa Express,4.47,In Transit,2026-08-19,2026-08-24,2026-08-27,38.92,CUST2113
SH00028,San Jose,Denver,Cyntexa Express,29.93,Pending,2026-08-08,2026-08-13,,45.58,CUST9565
SH00029,Philadelphia,Denver,DHL,20.09,Returned,2026-08-11,2026-08-15,,324.52,CUST8491
SH00030,San Jose,Minneapolis,FedEx,4.13,In Transit,2026-08-11,2026-08-13,,255.41,CUST3170
SH00031,Phoenix,Miami,USPS,41.77,Returned,2026-08-12,2026-08-14,2026-08-15,154.75,CUST9666
SH00032,Los Angeles,Miami,DHL,6.21,Shipped,2026-08-01,2026-08-08,2026-08-09,372.5,CUST3546
SH00033,Houston,Atlanta,Cyntexa Express,24.68,Cancelled,2026-08-09,2026-08-13,2026-08-14,30.15,CUST7939
SH00034,Chicago,Atlanta,UPS,37.19,Pending,2026-08-09,2026-08-11,,354.31,CUST1158
SH00035,Dallas,Seattle,Amazon Logistics,18.78,Pending,2026-08-04,2026-08-06,2026-08-06,78.31,CUST3088
SH00036,Philadelphia,Denver,BlueDart,12.85,Shipped,2026-08-02,2026-08-06,2026-08-05,180.07,CUST7658
SH00037,Houston,Miami,Amazon Logistics,40.63,Out for Delivery,2026-08-20,2026-08-27,,17.27,CUST6442
SH00038,Phoenix,Miami,Amazon Logistics,35.21,Out for Delivery,2026-08-14,2026-08-21,2026-08-21,436.72,CUST8711
SH00039,Philadelphia,Atlanta,Amazon Logistics,39.87,In Transit,2026-08-08,2026-08-11,2026-08-13,115.35,CUST4164
SH00040,Los Angeles,Atlanta,DHL,32.25,Out for Delivery,2026-08-13,2026-08-17,,341.36,CUST9785
SH00041,Phoenix,Miami,Cyntexa Express,48.15,Delivered,2026-08-11,2026-08-13,,23.94,CUST8119
SH00042,San Jose,Nashville,FedEx,19.57,Pending,2026-08-12,2026-08-19,2026-08-21,99.09,CUST1727
SH00043,Houston,Detroit,USPS,3.96,Returned,2026-08-14,2026-08-16,2026-08-19,460.78,CUST6143
SH00044,Phoenix,Portland,DHL,20.42,Delivered,2026-08-04,2026-08-11,2026-08-14,279.43,CUST4143
SH00045,San Jose,Minneapolis,DHL,20.6,Cancelled,2026-08-14,2026-08-21,2026-08-21,5.2,CUST5700
SH00046,Philadelphia,Las Vegas,USPS,22.39,In Transit,2026-08-07,2026-08-12,2026-08-15,258.03,CUST3780
SH00047,Philadelphia,Boston,Amazon Logistics,47.62,In Transit,2026-08-03,2026-08-07,2026-08-10,338.03,CUST4680
SH00048,Houston,Las Vegas,Cyntexa Express,42.56,Shipped,2026-08-07,2026-08-10,,230.43,CUST4185
SH00049,New York,Boston,Amazon Logistics,21.54,In Transit,2026-08-13,2026-08-18,2026-08-18,403.03,CUST9486
SH00050,San Diego,Miami,Amazon Logistics,23.5,Pending,2026-08-15,2026-08-17,2026-08-16,494.01,CUST6198
